Date,Candidate,Type,Value
1/2/2023,Candidate A,Estimate,0.33
1/2/2023,Candidate B,Estimate,0.51
1/2/2023,Candidate C,Estimate,0.16
1/5/2023,Candidate A,Estimate,0.31
1/5/2023,Candidate B,Estimate,0.50
1/5/2023,Candidate C,Estimate,0.19
1/8/2023,Candidate A,Estimate,0.31
1/8/2023,Candidate B,Estimate,0.54
1/8/2023,Candidate C,Estimate,0.15
1/11/2023,Candidate A,Estimate,0.33
1/11/2023,Candidate B,Estimate,0.51
1/11/2023,Candidate C,Estimate,0.16
1/14/2023,Candidate A,Estimate,0.34
1/14/2023,Candidate B,Estimate,0.41
1/14/2023,Candidate C,Estimate,0.25
1/17/2023,Candidate A,Estimate,0.34
1/17/2023,Candidate B,Estimate,0.44
1/17/2023,Candidate C,Estimate,0.22
1/20/2023,Candidate A,Estimate,0.35
1/20/2023,Candidate B,Estimate,0.46
1/20/2023,Candidate C,Estimate,0.19
1/23/2023,Candidate A,Estimate,0.37
1/23/2023,Candidate B,Estimate,0.47
1/23/2023,Candidate C,Estimate,0.16
1/26/2023,Candidate A,Estimate,0.35
1/26/2023,Candidate B,Estimate,0.50
1/26/2023,Candidate C,Estimate,0.15
1/29/2023,Candidate A,Estimate,0.35
1/29/2023,Candidate B,Estimate,0.46
1/29/2023,Candidate C,Estimate,0.19
2/1/2023,Candidate A,Estimate,0.36
2/1/2023,Candidate B,Estimate,0.46
2/1/2023,Candidate C,Estimate,0.18
2/4/2023,Candidate A,Estimate,0.38
2/4/2023,Candidate B,Estimate,0.44
2/4/2023,Candidate C,Estimate,0.18
2/7/2023,Candidate A,Estimate,0.39
2/7/2023,Candidate B,Estimate,0.36
2/7/2023,Candidate C,Estimate,0.25
2/10/2023,Candidate A,Estimate,0.39
2/10/2023,Candidate B,Estimate,0.44
2/10/2023,Candidate C,Estimate,0.17
2/13/2023,Candidate A,Estimate,0.40
2/13/2023,Candidate B,Estimate,0.41
2/13/2023,Candidate C,Estimate,0.19
2/16/2023,Candidate A,Estimate,0.39
2/16/2023,Candidate B,Estimate,0.36
2/16/2023,Candidate C,Estimate,0.25
2/19/2023,Candidate A,Estimate,0.41
2/19/2023,Candidate B,Estimate,0.43
2/19/2023,Candidate C,Estimate,0.16
2/22/2023,Candidate A,Estimate,0.40
2/22/2023,Candidate B,Estimate,0.37
2/22/2023,Candidate C,Estimate,0.24
2/25/2023,Candidate A,Estimate,0.41
2/25/2023,Candidate B,Estimate,0.37
2/25/2023,Candidate C,Estimate,0.23
2/28/2023,Candidate A,Estimate,0.41
2/28/2023,Candidate B,Estimate,0.35
2/28/2023,Candidate C,Estimate,0.24
1/2/2023,Candidate A,Low,0.31
1/5/2023,Candidate A,Low,0.29
1/8/2023,Candidate A,Low,0.29
1/11/2023,Candidate A,Low,0.31
1/14/2023,Candidate A,Low,0.32
1/17/2023,Candidate A,Low,0.32
1/20/2023,Candidate A,Low,0.33
1/23/2023,Candidate A,Low,0.35
1/26/2023,Candidate A,Low,0.33
1/29/2023,Candidate A,Low,0.33
2/1/2023,Candidate A,Low,0.34
2/4/2023,Candidate A,Low,0.36
2/7/2023,Candidate A,Low,0.37
2/10/2023,Candidate A,Low,0.37
2/13/2023,Candidate A,Low,0.38
2/16/2023,Candidate A,Low,0.37
2/19/2023,Candidate A,Low,0.39
2/22/2023,Candidate A,Low,0.38
2/25/2023,Candidate A,Low,0.39
2/28/2023,Candidate A,Low,0.39
1/2/2023,Candidate B,Low,0.49
1/5/2023,Candidate B,Low,0.48
1/8/2023,Candidate B,Low,0.52
1/11/2023,Candidate B,Low,0.50
1/14/2023,Candidate B,Low,0.39
1/17/2023,Candidate B,Low,0.43
1/20/2023,Candidate B,Low,0.44
1/23/2023,Candidate B,Low,0.46
1/26/2023,Candidate B,Low,0.48
1/29/2023,Candidate B,Low,0.44
2/1/2023,Candidate B,Low,0.44
2/4/2023,Candidate B,Low,0.43
2/7/2023,Candidate B,Low,0.34
2/10/2023,Candidate B,Low,0.43
2/13/2023,Candidate B,Low,0.39
2/16/2023,Candidate B,Low,0.34
2/19/2023,Candidate B,Low,0.41
2/22/2023,Candidate B,Low,0.35
2/25/2023,Candidate B,Low,0.35
2/28/2023,Candidate B,Low,0.34
1/2/2023,Candidate C,Low,0.14
1/5/2023,Candidate C,Low,0.17
1/8/2023,Candidate C,Low,0.13
1/11/2023,Candidate C,Low,0.14
1/14/2023,Candidate C,Low,0.23
1/17/2023,Candidate C,Low,0.20
1/20/2023,Candidate C,Low,0.17
1/23/2023,Candidate C,Low,0.14
1/26/2023,Candidate C,Low,0.13
1/29/2023,Candidate C,Low,0.17
2/1/2023,Candidate C,Low,0.16
2/4/2023,Candidate C,Low,0.16
2/7/2023,Candidate C,Low,0.23
2/10/2023,Candidate C,Low,0.15
2/13/2023,Candidate C,Low,0.17
2/16/2023,Candidate C,Low,0.23
2/19/2023,Candidate C,Low,0.14
2/22/2023,Candidate C,Low,0.22
2/25/2023,Candidate C,Low,0.21
2/28/2023,Candidate C,Low,0.22
1/2/2023,Candidate A,High,0.35
1/5/2023,Candidate A,High,0.33
1/8/2023,Candidate A,High,0.33
1/11/2023,Candidate A,High,0.35
1/14/2023,Candidate A,High,0.36
1/17/2023,Candidate A,High,0.36
1/20/2023,Candidate A,High,0.37
1/23/2023,Candidate A,High,0.39
1/26/2023,Candidate A,High,0.37
1/29/2023,Candidate A,High,0.37
2/1/2023,Candidate A,High,0.38
2/4/2023,Candidate A,High,0.40
2/7/2023,Candidate A,High,0.41
2/10/2023,Candidate A,High,0.41
2/13/2023,Candidate A,High,0.42
2/16/2023,Candidate A,High,0.41
2/19/2023,Candidate A,High,0.43
2/22/2023,Candidate A,High,0.41
2/25/2023,Candidate A,High,0.42
2/28/2023,Candidate A,High,0.43
1/2/2023,Candidate B,High,0.53
1/5/2023,Candidate B,High,0.51
1/8/2023,Candidate B,High,0.56
1/11/2023,Candidate B,High,0.53
1/14/2023,Candidate B,High,0.43
1/17/2023,Candidate B,High,0.46
1/20/2023,Candidate B,High,0.47
1/23/2023,Candidate B,High,0.49
1/26/2023,Candidate B,High,0.52
1/29/2023,Candidate B,High,0.47
2/1/2023,Candidate B,High,0.48
2/4/2023,Candidate B,High,0.46
2/7/2023,Candidate B,High,0.38
2/10/2023,Candidate B,High,0.46
2/13/2023,Candidate B,High,0.43
2/16/2023,Candidate B,High,0.38
2/19/2023,Candidate B,High,0.45
2/22/2023,Candidate B,High,0.38
2/25/2023,Candidate B,High,0.38
2/28/2023,Candidate B,High,0.37
1/2/2023,Candidate C,High,0.18
1/5/2023,Candidate C,High,0.21
1/8/2023,Candidate C,High,0.17
1/11/2023,Candidate C,High,0.18
1/14/2023,Candidate C,High,0.27
1/17/2023,Candidate C,High,0.24
1/20/2023,Candidate C,High,0.21
1/23/2023,Candidate C,High,0.18
1/26/2023,Candidate C,High,0.17
1/29/2023,Candidate C,High,0.21
2/1/2023,Candidate C,High,0.20
2/4/2023,Candidate C,High,0.20
2/7/2023,Candidate C,High,0.27
2/10/2023,Candidate C,High,0.19
2/13/2023,Candidate C,High,0.21
2/16/2023,Candidate C,High,0.27
2/19/2023,Candidate C,High,0.18
2/22/2023,Candidate C,High,0.26
2/25/2023,Candidate C,High,0.25
2/28/2023,Candidate C,High,0.26